Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME,Column A,CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE,CONTRIBUTION_DATE3,recipient_surname,CLIENT.INDUSTRY,ORIGINAL.CLIENT.NAME
2016,36261,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5085,15564,2016-01-01,2016-03-31,2016-03-30,Hopkins for Chicago,500.00,36261,Donna,Pugh,2016-09-29,2016-03-30,Hopkins,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36261,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5086,15563,2016-04-01,2016-06-30,2016-05-16,Friends of Susana Mendoza,44.00,36261,Donna,Pugh,2016-09-29,2016-05-16,Mendoza,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5136,15894,2016-07-01,2016-09-30,2016-08-22,Alderman Millz Santiago,100.00,36741,Donna,Pugh,2016-10-14,2016-08-22,Santiago,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5137,15895,2016-07-01,2016-09-30,2016-09-28,Friends of Michele Smith,100.00,36741,Donna,Pugh,2016-10-14,2016-09-28,Smith,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5141,15885,2016-04-01,2016-06-30,2016-05-16,Friends of Susana Mendoza,44.00,36741,Donna,Pugh,2016-10-14,2016-05-16,Mendoza,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5145,15887,2016-01-01,2016-03-31,2016-03-30,Hopkins for Chicago,500.00,36741,Donna,Pugh,2016-10-14,2016-03-30,Hopkins,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5147,15892,2016-07-01,2016-09-30,2016-07-14,Alderman Scott Waguespack,100.00,36741,Donna,Pugh,2016-10-14,2016-07-14,Waguespack,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5148,15893,2016-07-01,2016-09-30,2016-08-19,23rd Ward Regular Democratic Organization,150.00,36741,Donna,Pugh,2016-10-14,2016-08-19,Zalewski,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5150,15886,2016-04-01,2016-06-30,2016-05-31,Alderman Raymond Lopez,250.00,36741,Donna,Pugh,2016-10-14,2016-05-31,Lopez,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5151,15884,2016-04-01,2016-06-30,2016-05-16,Alderman Margaret Laurino,250.00,36741,Donna,Pugh,2016-10-14,2016-05-16,Laurino,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5376,17043,2016-10-01,2016-12-31,2016-12-09,Friends of Susan Sadlowski Garza,50.00,36741,Donna,Pugh,2016-12-22,2016-12-09,Sadlowski Garza,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5377,17041,2016-10-01,2016-12-31,2016-10-19,Friends of Susana Mendoza,100.00,36741,Donna,Pugh,2016-12-22,2016-10-19,Mendoza,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36741,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5378,17042,2016-10-01,2016-12-31,2016-12-08,Brian Hopkins for Chicago,750.00,36741,Donna,Pugh,2016-12-22,2016-12-08,Hopkins,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2015,26462,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3167,10683,2015-04-01,2015-06-30,2015-05-18,James Cappleman,250.00,26462,Michael,Alexander,2015-07-17,2015-05-18,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,26462,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3175,10682,2015-01-01,2015-03-31,2015-02-05,James Cappleman,250.00,26462,Michael,Alexander,2015-07-17,2015-02-05,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,26462,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3303,10681,2015-01-01,2015-03-31,2015-02-19,Michele Smith,250.00,26462,Michael,Alexander,2015-07-17,2015-02-19,Smith,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28043,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3862,11842,2015-01-01,2015-03-31,2015-02-05,James Cappleman,250.00,28043,Michael,Alexander,2015-10-26,2015-02-05,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28043,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3863,11841,2015-04-01,2015-06-30,2015-05-18,James Cappleman,250.00,28043,Michael,Alexander,2015-10-26,2015-05-18,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28043,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3864,11843,2015-01-01,2015-03-31,2015-02-19,Michele Smith,250.00,28043,Michael,Alexander,2015-10-26,2015-02-19,Smith,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28262,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3875,11923,2015-04-01,2015-06-30,2015-05-18,James Cappleman,250.00,28262,Michael,Alexander,2015-11-03,2015-05-18,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28262,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3876,11921,2015-01-01,2015-03-31,2015-02-05,James Cappleman,250.00,28262,Michael,Alexander,2015-11-03,2015-02-05,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28262,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3877,11922,2015-01-01,2015-03-31,2015-02-19,Michele Smith,250.00,28262,Michael,Alexander,2015-11-03,2015-02-19,Smith,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28262,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",4170,12727,2015-10-01,2015-12-31,2015-11-10,Citizens for Cappleman,500.00,28262,Michael,Alexander,2016-01-19,2015-11-10,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28261,8381,23301,Mr.,John,L,Borovicka,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",4169,12729,2015-10-01,2015-12-31,2015-10-16,Friends of Margaret Laurino,100.00,28261,John,Borovicka,2016-01-19,2015-10-16,Laurino,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,28261,8381,23301,Mr.,John,L,Borovicka,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",4172,12730,2015-10-01,2015-12-31,2015-11-05,Friends of Raymond A. Lopez,250.00,28261,John,Borovicka,2016-01-19,2015-11-05,Lopez,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2014,20701,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",1464,8291,2014-10-01,2014-12-31,2014-12-16,James Cappleman,250.00,20701,Michael,Alexander,2015-01-16,2014-12-16,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2014,20701,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",1932,7022,2014-01-01,2014-03-31,2014-03-20,Friends of Michele Smith,500.00,20701,Michael,Alexander,2014-09-10,2014-03-20,Smith,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2014,20701,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",2726,7023,2014-04-01,2014-06-30,2014-06-30,Susanna Mendoza,100.00,20701,Michael,Alexander,2014-09-10,2014-06-30,Mendoza,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2014,20701,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3130,7241,2014-07-01,2014-09-30,2014-09-20,Alderman Ameya Pawar,500.00,20701,Michael,Alexander,2014-10-10,2014-09-20,Pawar,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2014,20701,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3135,7021,2014-01-01,2014-03-31,2014-02-24,Citizens for Cappleman,250.00,20701,Michael,Alexander,2014-09-10,2014-02-24,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,22720,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",2250,8761,2015-01-01,2015-03-31,2015-02-05,James Cappleman,250.00,22720,Michael,Alexander,2015-04-10,2015-02-05,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,22720,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",2651,8762,2015-01-01,2015-03-31,2015-02-19,Michele Smith,250.00,22720,Michael,Alexander,2015-04-10,2015-02-19,Smith,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,22720,8381,23301,Mr.,Michael,,Alexander,,"Alexander & Borovicka Government Solutions, LLC","LMG2, LLC",3356,10001,2015-04-01,2015-06-30,2015-05-18,James Cappleman,250.00,22720,Michael,Alexander,2015-06-30,2015-05-18,Cappleman,REAL ESTATE & CONSTRUCTION,"LMG2, LLC"
2015,27901,4281,27680,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,GW PROPERTY GROUP C/O MITCH GOLTZ,3821,11719,2015-01-01,2015-03-31,2015-03-30,Friends for Patrick D. Thompson,500.00,27901,James,Banks,2015-10-20,2015-03-30,Thompson,REAL ESTATE & CONSTRUCTION,GW PROPERTY GROUP C/O MITCH GOLTZ
2015,27901,4281,27680,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,GW PROPERTY GROUP C/O MITCH GOLTZ,3825,11716,2015-01-01,2015-03-31,2015-01-28,Citizens for Anthony Beal,250.00,27901,James,Banks,2015-10-20,2015-01-28,NA,REAL ESTATE & CONSTRUCTION,GW PROPERTY GROUP C/O MITCH GOLTZ
2015,27901,4281,27680,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,GW PROPERTY GROUP C/O MITCH GOLTZ,3835,11717,2015-01-01,2015-03-31,2015-02-10,Citizens for Garrido,200.00,27901,James,Banks,2015-10-20,2015-02-10,NA,REAL ESTATE & CONSTRUCTION,GW PROPERTY GROUP C/O MITCH GOLTZ
2015,27901,4281,27680,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,GW PROPERTY GROUP C/O MITCH GOLTZ,3843,11718,2015-01-01,2015-03-31,2015-02-19,Hopkins for Chicago,500.00,27901,James,Banks,2015-10-20,2015-02-19,Hopkins,REAL ESTATE & CONSTRUCTION,GW PROPERTY GROUP C/O MITCH GOLTZ
2015,28141,11781,26264,Mr.,William,JP,Banks,,Schain Banks Kenny & Schwartz,"HACM 2, LLC",4078,12382,2015-10-01,2015-12-31,2015-10-09,Citizens for Patrick J. O'Connor,300.00,28141,William,Banks,2016-01-08,2015-10-09,O'Connor,REAL ESTATE & CONSTRUCTION,"HACM 2, LLC"
2015,30410,4281,28842,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,BRENT NORSMAN,4202,12803,2015-01-01,2015-03-31,2015-01-28,Citizens for Anthony Beal,250.00,30410,James,Banks,2016-01-21,2015-01-28,NA,REAL ESTATE & CONSTRUCTION,BRENT NORSMAN
2015,30410,4281,28842,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,BRENT NORSMAN,4203,12802,2015-01-01,2015-03-31,2015-03-30,Friends for Patrick D. Thompson,500.00,30410,James,Banks,2016-01-21,2015-03-30,Thompson,REAL ESTATE & CONSTRUCTION,BRENT NORSMAN
2015,30410,4281,28842,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,BRENT NORSMAN,4204,12801,2015-01-01,2015-03-31,2015-02-10,Citizens for Garrido,200.00,30410,James,Banks,2016-01-21,2015-02-10,NA,REAL ESTATE & CONSTRUCTION,BRENT NORSMAN
2015,30410,4281,28842,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,BRENT NORSMAN,4205,12804,2015-01-01,2015-03-31,2015-02-19,Hopkins for Chicago,500.00,30410,James,Banks,2016-01-21,2015-02-19,Hopkins,REAL ESTATE & CONSTRUCTION,BRENT NORSMAN
2014,18941,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1394,6442,2014-04-01,2014-06-30,2014-05-08,Citizens for Carrie Austin,1000.00,18941,Mary,Minaghan dba MKM Services,2014-07-07,2014-05-08,Austin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2014,18941,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1770,6441,2014-04-01,2014-06-30,2014-06-26,Citizens for Ervin,150.00,18941,Mary,Minaghan dba MKM Services,2014-07-07,2014-06-26,Ervin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,10504,4652,16220,Ms.,Judith,A,Roettig,,Chicagoland Apartment Association,CHICAGOLAND APARTMENT ASSOCIATION,1659,3364,2013-04-01,2013-06-30,2013-03-14,Citizens for Cappleman,500.00,10504,Judith,Roettig,2013-07-05,2013-03-14,Cappleman,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,10504,4652,16220,Ms.,Judith,A,Roettig,,Chicagoland Apartment Association,CHICAGOLAND APARTMENT ASSOCIATION,2053,3367,2013-04-01,2013-06-30,2013-04-11,Friends of Michelle Harris,500.00,10504,Judith,Roettig,2013-07-05,2013-04-11,Harris,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,10504,4652,16220,Ms.,Judith,A,Roettig,,Chicagoland Apartment Association,CHICAGOLAND APARTMENT ASSOCIATION,2054,3366,2013-04-01,2013-06-30,2013-03-27,Friends to Elect Tony Foulkes,250.00,10504,Judith,Roettig,2013-07-05,2013-03-27,Foulkes,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,10504,4652,16220,Ms.,Judith,A,Roettig,,Chicagoland Apartment Association,CHICAGOLAND APARTMENT ASSOCIATION,478,3365,2013-04-01,2013-06-30,2013-03-27,25th Ward Regular Democratic Organization,500.00,10504,Judith,Roettig,2013-07-05,2013-03-27,NA,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,10504,4652,16220,Ms.,Judith,A,Roettig,,Chicagoland Apartment Association,CHICAGOLAND APARTMENT ASSOCIATION,529,4337,2013-07-01,2013-09-30,2013-09-19,Friends of Carrie Austin,1000.00,10504,Judith,Roettig,2013-10-07,2013-09-19,Austin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1275,3668,2012-01-01,2012-06-30,2013-01-17,Friends of George Cardenas,250.00,11984,Mary,Minaghan dba MKM Services,2013-07-18,2013-01-17,Cardenas,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1355,5106,2013-10-01,2013-12-31,2013-11-28,Friends for Mary O'Connor,250.00,11984,Mary,Minaghan dba MKM Services,2014-01-10,2013-11-28,O'Connor,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,2143,5105,2013-10-01,2013-12-31,2013-11-20,Citizens for Ervin,150.00,11984,Mary,Minaghan dba MKM Services,2014-01-10,2013-11-20,Ervin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,2454,2502,2013-01-01,2013-03-31,2013-02-21,Beale for Congress,250.00,11984,Mary,Minaghan dba MKM Services,2013-04-17,2013-02-21,Beale,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,2836,2501,2013-01-01,2013-03-31,2013-01-17,Friends of George Cardenas,250.00,11984,Mary,Minaghan dba MKM Services,2013-04-17,2013-01-17,Cardenas,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,2857,3669,2012-01-01,2012-06-30,2013-06-07,Citizens for Reboyras,150.00,11984,Mary,Minaghan dba MKM Services,2013-07-18,2013-06-07,Reboyras,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,914,4444,2013-07-01,2013-09-30,2013-09-20,Friends of Mary O'Connor,250.00,11984,Mary,Minaghan dba MKM Services,2013-10-17,2013-09-20,O'Connor,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2013,11984,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,934,5104,2013-10-01,2013-12-31,2013-12-13,Citizens for Brendan Reilly,1500.00,11984,Mary,Minaghan dba MKM Services,2014-01-10,2013-12-13,Reilly,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1034,8642,2015-01-01,2015-03-31,2015-01-28,Friends of Jen Kramer,500.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-01-28,NA,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1450,8647,2015-01-01,2015-03-31,2015-03-18,Citizens to Elect Emma Mitts,500.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-03-18,Mitts,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1451,8646,2015-01-01,2015-03-31,2015-02-19,Citizens for Carrie Austin,250.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-02-19,Austin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,1452,8643,2015-01-01,2015-03-31,2015-02-04,Friends of JoAnn Thompson,500.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-02-04,Thompson,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,2648,8644,2015-01-01,2015-03-31,2015-02-10,Citizens for Ervin,250.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-02-10,Ervin,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,3037,8645,2015-01-01,2015-03-31,2015-02-12,Citizens for Michael Scott,200.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-02-12,Scott,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,3038,8641,2015-01-01,2015-03-31,2015-01-05,Citizens for Reboyras,250.00,22753,Mary,Minaghan dba MKM Services,2015-04-06,2015-01-05,Reboyras,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,3193,10303,2015-04-01,2015-06-30,2015-05-19,Friends of Raymond Lopez,250.00,22753,Mary,Minaghan dba MKM Services,2015-07-08,2015-05-19,Lopez,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
2015,22753,4527,16220,Ms.,Mary,K,Minaghan dba MKM Services,,MKM Services,CHICAGOLAND APARTMENT ASSOCIATION,3230,10305,2015-04-01,2015-06-30,2015-06-25,Friends of Toni Foulkes,250.00,22753,Mary,Minaghan dba MKM Services,2015-07-08,2015-06-25,Foulkes,REAL ESTATE & CONSTRUCTION,CHICAGOLAND APARTMENT ASSOCIATION
